id,service_name,full_address,address_key,County,x,y,Type
49,Ballygar Nursing Home,"Ballygar Nursing Home, Ballygar, Co. Galway, Galway", Ballygar,Galway,178172.5681,252591.5604,NursingHome
50,Baltinglass District Hospital,"Baltinglass District Hospital, Baltinglass, Co. Wicklow, Wicklow", Baltinglass,Wicklow,286792.5304,188575.7702,NursingHome
51,Bandon Community Hospital,"Bandon Community Hospital, Bandon, Co. Cork, Cork", Bandon,Cork,149151.3607,55168.15099,NursingHome
52,Beach Hill Manor,"Beach Hill Manor, Lisfannon, Fahan, Co. Donegal, Donegal", Lisfannon,Donegal,233527.0946,427417.5374,NursingHome
53,Beaufort House,"Navan Community Health Unit, Athboy Road, Navan, Co. Meath, Meath", Athboy Road,Meath,286681.2998,268004.1567,NursingHome
54,Beaumont Residential Care,"Beaumont Residential Care, Woodvale Road, Beaumont, Co. Cork, Cork", Woodvale Road,Cork,170870.7827,70905.50105,NursingHome
55,Beech Lodge Care Facility,"Beech Lodge Care Facility, Bruree, Co. Limerick, Limerick", Bruree,Limerick,157200.8556,156822.927,NursingHome
56,Beech Park Nursing Home,"Dunmurry West, Kildare, R51pc58", Kildare,Kildare,272512.3006,214998.8999,NursingHome
57,Beechfield Manor Nursing Home,"Beechfield Manor, Dublin 18, D18p389",Beechfield,Dublin,325353.5256,222134.5379,NursingHome
58,Beechlawn House Nursing Home,"Beechlawn House Nursing Home, High Park, Gracepark Road, Drumcondra, Dublin 9 Dublin 9", Gracepark Road,Dublin,316999.2788,238083.518,NursingHome
59,Beechtree Nursing Home & Retirement Accommodation,"Beechtree Nursing Home & Retirement Accomodation, Murragh, Oldtown, Co. Dublin, Co. Dublin", Murragh,Kildare,295859.285,233553.6546,NursingHome
60,Beechwood House Nursing Home,"Beechwood House Nursing Home, Newcastle West, Co. Limerick, Limerick", Newcastle West,Limerick,128400.7398,133398.7196,NursingHome
61,Beechwood Nursing Home,"Beechwood Nursing Home, Leighlinbridge, Co. Carlow, Carlow", Leighlinbridge,Carlow,268872.204,165339.7417,NursingHome
62,Bellvilla Community Unit,"Bellvilla Community Unit, 129 South Circular Road, Dublin 8, Dublin 8",South Circular Road,Dublin,314753.9517,232600.5459,NursingHome
63,Belmont House Nursing Home,"Galloping Green, Stillorgan Road, Blackrock, Co. Dublin, A94kw44", Stillorgan Road,Dublin,320873.4556,227071.1589,NursingHome
64,Beneavin House,"Beneavin House, Beneavin Rd, Glasnevin, Dublin 11, Dublin 11", Beneavin Rd,Dublin,314147.1777,239028.6098,NursingHome
65,Beneavin Lodge,"Beneavin Lodge Nursing Home, Beneavin Road, Glasnevin, Dublin 11, Dublin 11", Beneavin Road,Dublin,314109.0778,239054.052,NursingHome
66,Bethany House Nursing Home,"Bethany House, Main Street, Tyrrellspass, Co. Westmeath, N91p5p6", Main Street,Westmeath,241180.1725,237570.641,NursingHome
67,Birr Community Nursing Unit,"Birr Community Nursing Unit, Sandymount, Birr, Co. Offaly, Offaly", Sandymount,Offaly,206097.535,205420.8567,NursingHome
68,Bishopscourt Residential Care Ltd,"Bishopscourt Residential Care, Liskillea, Waterfall, Co. Cork, Cork", Liskillea,Cork,163561.4162,69053.31538,NursingHome
69,Blackrock Abbey Nursing Home,"Blackrock Abbey Nursing Home, Blackrock, Dundalk, Co. Louth, Louth", Blackrock,Louth,306467.903,302190.2019,NursingHome
70,Blackrocks Nursing Home,"Blackrocks Nursing Home, The Green, Foxford, Mayo, Mayo", The Green,Mayo,126946.6938,304374.6918,NursingHome
71,Blairs Hill Nursing Home,"Blair's Hill Nursing Home, Blair's Hill, Sunday's Well, Cork, Cork", Blair's Hill,Cork,166185.1905,72011.51402,NursingHome
72,Blarney Nursing and Retirement Home,"Blarney Nursing Home, Killowen, Blarney, Co. Cork, Cork", Killowen,Cork,159430.3637,76676.35577,NursingHome
73,Borris Lodge Nursing Home,"Borris Lodge Nursing Home, Borris, Co. Carlow, Carlow", Borris,Carlow,272523.3877,150730.7097,NursingHome
74,Boyne Valley Nursing Home,"Boyne Valley Nursing Home, Dowth, Drogheda, Co. Meath, Meath", Dowth,Meath,303648.42,275014.8212,NursingHome
75,Boyne View House,"Drogheda Services for the Elderly Boyne View House, Dublin Road, Drogheda, Co. Louth, Louth", Dublin Road,Louth,310349.6765,274494.6813,NursingHome
76,Brabazon House Nursing Home,"Brabazon House, 2 Gilford Road, Dublin 4, D04tn93",Gilford Road,Dublin,319199.1886,232389.434,NursingHome
77,Bramleigh Lodge,"Bramleigh Lodge Nursing Home, Cashel Road, Cahir, Co. Tipperary, Tipperary", Cashel Road,Tipperary,205262.675,125255.4807,NursingHome
78,"Bray Manor Nursing Home, ","47 Meath Road, Bray, Co. Wicklow, A98f433", Bray,Wicklow,327060.0066,218203.8709,NursingHome
79,Breffni Care Centre,"Breffni Care Centre, Ballyconnell, Co. Cavan, Cavan", Ballyconnell,Cavan,226920.6138,318818.7845,NursingHome
80,Brentwood Manor,"NURSING HOME, LETTERKENNY ROAD, CONVOY, CO. DONEGAL", LETTERKENNY ROAD,Donegal,221689.4233,401759.1017,NursingHome
81,Bridhaven Nursing Home,"Bridhaven Nursing Home, Spa Glen, Mallow, Co. Cork, Cork", Spa Glen,Cork,156009.7923,99384.8752,NursingHome
82,Brindley Manor Private Nursing Home,"LETTERKENNY ROAD, CONVOY, CO. DONEGAL", CONVOY,Donegal,221508.3047,401842.7042,NursingHome
83,Brookfield Care Centre,"Brookfield Care Centre, Leamlara, Co. Cork, Cork", Leamlara,Cork,181797.0285,79942.80145,NursingHome
84,Brookhaven Nursing Home,"Brookhaven Nursing Home, Ballyraggett, Co. Kilkenny, Kilkenny", Ballyraggett,Kilkenny,245159.6631,170309.5036,NursingHome
