Id,service_name,full_address,address_key,County,x,y,Type
161,Dental Practice,"18 Annesley, Bridge Road, Dublin 3", Bridge Road,Dublin,317370.866,236085.453,Dental
162,Dental Practice,"173 Ballymun Road, Dublin 11", Ballymun Road,Dublin,315480.652,239102.95,Dental
163,Dental Practice,"224 Collins Avenue, Dublin 9", Collins Avenue,Dublin,317848.976,237930.943,Dental
164,Dental Practice,"64 Upper Drumcondra Road, Dublin 9",Upper Drumcondra Road,Dublin,316304.322,237020.171,Dental
165,Dental Practice,"1 Manor Place, Dublin 7",Manor Place,Dublin,314285.3,234886.5,Dental
166,Dental Practice,"304 North Circular Road, Dublin 7",North Circular Road,Dublin,314820.391,235811.654,Dental
167,Dental Practice,"56A Marian Road, Dublin 14", Marian Road,Dublin,313547.478,228249.081,Dental
168,Dental Practice,"1A Charlotte Street, Newbridge, Co. Kildare",Charlotte Street,Kildare,280378.344,215129.641,Dental
169,Dental Practice,"Unit 1 Chapel Mews, Chapel Lane, Sallins, Co. Kildare", Chapel Lane,Kildare,289208.5,222985.266,Dental
170,Dental Practice,"7 Carlton Villas, Novara Avenue, Bray, Co. Wicklow", Novara Avenue,Wicklow,326520.839,218523.397,Dental
171,Dental Practice,"1 Florence Road, Bray, Co. Wicklow",Florence Road,Wicklow,326524.69,218638.28,Dental
172,Dental Practice,"93 Main Street, Bray, Co. Wicklow",Main Street,Wicklow,326351.152,218616.706,Dental
173,Dental Practice,"42 Baggot Street Lower, Dublin 2",Baggot Street Lower,Dublin,316668.645,233271.021,Dental
174,Dental Practice,"75A Sandymount Road, Dublin 4", Sandymount Road,Dublin,318836.688,232895.282,Dental
175,Dental Practice,"79 Morehampton Road, Dublin 4", Morehampton Road,Dublin,317285.882,231884.189,Dental
176,Dental Practice,"188 Rathgar Road, Dublin 6",Rathgar Road,Dublin,315490.176,231422.322,Dental
177,Dental Practice,"69 Orwell Park Rise, Templeogue, Dublin 6",Orwell Park Rise,Dublin,311806.813,228970.016,Dental
178,Dental Practice,"1A Grosvenor Road, Dublin 6",Grosvenor Road,Dublin,315458.609,231492.849,Dental
179,Dental Practice,"130 Terenure Road North, Dublin 6",Terenure Road North,Dublin,314453.127,230231.528,Dental
180,Dental Practice,"631 South Circular Road, Kilmainham, Dublin 8", South Circular Road,Dublin,312760.715,233506.16,Dental
