id,name,full_address,address_key,County,eircode,x,y,Type
272,Corofin,"Kilvoydan, Corofin, Co. Clare.",Kilvoydan,Clare,,128924.25,188992.422,Healthcenters
273,Ennis,"Mill Road, Ennis, Co. Clare",Mill Road,Clare,,133667.001,177698.584,Healthcenters
274,Ennistymon,"Ennis Road, Ennistymon, Co. Clare",Ennis Road,Clare,,113376.281,188114.922,Healthcenters
275,Kilkee,"Church Road, Kilkee, Co. Clare",Church Road,Clare,,88388.464,159584.191,Healthcenters
276,Kilmihil,"Main Street, Kilmihil, Co. Clare.",Main Street,Clare,,111051.352,164007.828,Healthcenters
277,Kilrush,"Fahy's Road, Kilrush, Co. Clare",Fahy's Road,Clare,,99365.603,155429.055,Healthcenters
278,Swanlinbar,"Creamery Road, Swanlinbar, Co. Cavan.",Creamery Road,Cavan,,219321.141,326943.063,Healthcenters
279,Termon,"Termon, Virginia, Co. Cavan",Termon,Cavan,,257396.775,296363.508,Healthcenters
280,Tullyvin,"Aghatotan, Tullyvin, Co. Cavan.",Aghatotan,Cavan,,255911,311531.16,Healthcenters
281,Virginia,"Bailieboro Road, Virginia, Co. Cavan.",Bailieboro Road,Cavan,,260808.953,287640.344,Healthcenters
282,Carrickmacross,"Emmet Street, Carrickmacross, Co. Monaghan.",Emmet Street,Monaghan,,284349.708,303622.079,Healthcenters
283,Lisdoonvarna,"Main Street, Lisdoonvarna, Co. Clare",Main Street,Clare,,113407.359,198196.406,Healthcenters
284,Mullagh,"Mullagh, Co. Clare.",Mullagh,Clare,,104394.789,172985.766,Healthcenters
285,Scariff,"Drewsborough, Scariff, Co. Clare.",Drewsborough,Clare,,164095.969,184222.141,Healthcenters
286,Shannon,"Shannon Town Centre, Shannon, Co. Clare.", Shannon,Clare,,140740.086,162254.774,Healthcenters
287,Sixmilebridge,"Lodge Road, Sixmilebridge, Co. Clare.",Lodge Road,Clare,,147610.734,165935.375,Healthcenters
288,Tulla,"Tulla, Co. Clare.",Tulla,Clare,,149196.438,179639.266,Healthcenters
289,Marian Avenue,"Marian Avenue, Borrisokane, Co. Tipperary.",Marian Avenue,Tipperary,,191809.797,193448.078,Healthcenters
290,Borrisoleigh,"Lower Main Street, Borrisoleigh, Co. Tipperary.",Lower Main Street,Tipperary,,203165.13,166639.2,Healthcenters
291,Cloughjordan,"Step Road, Cloughjordan, Co. Tipperary.",Step Road,Tipperary,,197661.641,188026.609,Healthcenters
292,Clones,"Analore Street, Clones, Co. Monaghan.",Analore Street,Monaghan,,250392.796,325646.348,Healthcenters
293,Clontibret,"Clontibret, Co. Monaghan.",Clontibret,Monaghan,,275099.75,330381.438,Healthcenters
294,Emyvale,"Main Street, Emyvale, Co. Monaghan",Main Street,Monaghan,,267722.5,344082.94,Healthcenters
295,Mulladuff,"Mulladuff, Smithboro, Co. Monaghan.",Mulladuff,Monaghan,,258484.23,330496.94,Healthcenters
296,Rockcorry,"Main Street, Rockcorry, Co. Monaghan",Main Street,Monaghan,,264455.469,319137.438,Healthcenters
297,Rooskey,"St. Davnet's Hospital Complex, Rooskey, Co. Monaghan.", Rooskey,Monaghan,,267828.056,334172.99,Healthcenters
298,Scotstown,"Bog Road, Scotstown, Co. Monaghan.",Bog Road,Monaghan,,260701.656,336791.25,Healthcenters
299,Tullyvara,"Tullyvara, Broomfield, Co. Monaghan.",Tullyvara,Monaghan,,284783.69,310034.19,Healthcenters
300,Littleton,"Littleton, Thurles, Co. Tipperary.",Littleton,Tipperary,,217725.109,153835.172,Healthcenters
301,Moyne,"Moyne, Thurles, Co. Tipperary.",Moyne,Tipperary,,219380.547,164845.938,Healthcenters
302,Newport,"Pound Street, Newport, Co. Tipperary.",Pound Street,Tipperary,,172810.48,162440.27,Healthcenters
303,Portroe,"Portroe, Nenagh, Co. Tipperary.",Portroe,Tipperary,,176279.828,181244.922,Healthcenters
304,Rathcabbin,"Rathcabbin, Roscrea, Co. Tipperary.",Rathcabbin,Tipperary,,197796.563,207295.156,Healthcenters
305,Rearcross,"Rearcross, Newport, Co. Tipperary.",Rearcross,Tipperary,,184046.563,159476.703,Healthcenters
306,Gaol Road,"Gaol Road, Roscrea, Co. Tipperary.",Gaol Road,Tipperary,,213783.649,189143.021,Healthcenters
307,Traynor Court,"Traynor Court, Chapel Lane, Roscrea, Co. Tipperary.",Traynor Court,Tipperary,,213466,189331.875,Healthcenters
308,Templederry,"Templederry, Nenagh, Co. Tipperary.",Templederry,Tipperary,,194964.859,169184.953,Healthcenters
309,Castletown/Wilkinstown,"Balsaw, Wilkinstown, Co. Meath.",Balsaw,Meath,,285360.594,276361.188,Healthcenters
310,Drumconrath,"Drumconrath, Co. Meath",Drumconrath,Meath,,288812.5,289739.406,Healthcenters
311,Duleek,"Navan Road, Duleek, Co. Meath",Navan Road,Meath,,304516.813,268333.094,Healthcenters
312,Mosney,"Mosney, Co. Meath",Mosney,Meath,,316283.688,269381.031,Healthcenters
313,Templemore,"Templemore Medical Centre, Bank Street, Co. Tipperary.", Bank Street,Tipperary,,211359.07,171576.432,Healthcenters
314,Toomevara,"Toomevara, Nenagh, Co. Tipperary.",Toomevara,Tipperary,,197521.469,177611.656,Healthcenters
315,St. Mary's,"Parnell Street, Thurles, Co. Tipperary.",Parnell Street,Tipperary,,212235.78,158851.67,Healthcenters
316,Upperchurch,"Upperchurch, Thurles, Co. Tipperary.",Upperchurch,Tipperary,,198804.84,161234.86,Healthcenters
317,Bishop Street,"Bishop Street, Limerick.",Bishop Street, Limerick,,157953.003,157690.758,Healthcenters
318,Cappamore,"Moore Street, Cappamore, Co. Limerick.",Moore Street,Limerick,,177281.344,151453.156,Healthcenters
